v8-version,8,1,307,31,-node.33,0
code-creation,Builtin,3,1872,0x1345ac0,12,BigIntToI32Pair
code-creation,Builtin,3,1875,0x1345ae0,309,I64ToBigInt
code-creation,Builtin,3,1877,0x1345c20,12,I32PairToBigInt
code-creation,Builtin,3,1880,0x1345c40,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,1883,0x1345cc0,3437,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,1886,0x1346a40,16052,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,1889,0x134a900,257,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,1891,0x134aa20,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,1894,0x134aa80,20,LoadIC_StringLength
code-creation,Builtin,3,1897,0x134aaa0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,1900,0x134aac0,3064,LoadIC_NoFeedback
code-creation,Builtin,3,1902,0x134b6c0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,1905,0x134b700,7108,StoreIC_NoFeedback
code-creation,Builtin,3,1908,0x134d2e0,180,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,1910,0x134d3a0,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,1913,0x134d400,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,1916,0x134d560,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1920,0x134d6c0,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,1923,0x134d820,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,1926,0x134d980,6872,StoreFastElementIC_Standard
code-creation,Builtin,3,1929,0x134f460,10616,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1933,0x1351de0,6868,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,1936,0x13538c0,5900,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,1939,0x1354fe0,9288,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,1942,0x1357440,21716,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1945,0x135c920,9288,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,1949,0x135ed80,12200,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,1952,0x1361d40,768,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,1955,0x1362060,180,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,1958,0x1362120,80,HasIndexedInterceptorIC
code-creation,Builtin,3,1961,0x1362180,156,EnqueueMicrotask
code-creation,Builtin,3,1963,0x1362220,8,RunMicrotasksTrampoline
code-creation,Builtin,3,1966,0x1362240,1936,RunMicrotasks
code-creation,Builtin,3,1969,0x13629e0,2458,HasProperty
code-creation,Builtin,3,1971,0x1363380,1108,DeleteProperty
code-creation,Builtin,3,1974,0x13637e0,2051,CopyDataProperties
code-creation,Builtin,3,1976,0x1364000,9198,SetDataProperties
code-creation,Builtin,3,1979,0x1366400,36,Abort
code-creation,Builtin,3,1981,0x1366440,36,AbortCSAAssert
code-creation,Builtin,3,1984,0x1366480,12,EmptyFunction
code-creation,Builtin,3,1987,0x13664a0,12,Illegal
code-creation,Builtin,3,1989,0x13664c0,12,StrictPoisonPillThrower
code-creation,Builtin,3,1992,0x13664e0,12,UnsupportedThrower
code-creation,Builtin,3,1994,0x1366500,65,ReturnReceiver
code-creation,Builtin,3,1997,0x1366560,36,ArrayConstructor
code-creation,Builtin,3,2000,0x13665a0,413,ArrayConstructorImpl
code-creation,Builtin,3,2002,0x1366740,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2006,0x1366820,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2009,0x1366900,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2013,0x13669c0,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2016,0x1366a80,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2020,0x1366b40,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2023,0x1366c00,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2027,0x1366ce0,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2031,0x1366dc0,541,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2035,0x1366fe0,505,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2039,0x13671e0,465,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2043,0x13673c0,429,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2046,0x1367580,465,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2050,0x1367760,429,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2053,0x1367920,473,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2057,0x1367b00,437,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2061,0x1367cc0,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,2064,0x1367d20,12,ArrayConcat
code-creation,Builtin,3,2066,0x1367d40,12,ArrayPrototypeFill
code-creation,Builtin,3,2069,0x1367d60,962,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2072,0x1368140,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2075,0x13681e0,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2077,0x13682c0,557,ArrayIncludes
